Player,Team,Pos,season,target,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25
Andrea Bargnani,TOR,PF,2010,0,9.975935,5.583048,6.657629,9.857667,2.2036364,10.375325,3.2801354,2.7577443,3.3330512,4.597395,3.384259,5.75169,5.6913915,6.703252,5.9176874,4.347551,9.303181,5.141562,6.624023,2.518534,5.7043896,5.959565,4.6377497,5.5567026,4.0622635
Andrei Kirilenko,UTA,SF,2010,0,9.99183,5.549875,6.660398,9.754184,2.1475465,9.484391,4.380116,2.6325183,3.4056494,4.360366,3.5946605,5.8414993,5.557353,6.7789316,5.9743743,4.2952223,9.316733,5.0051794,6.6087565,2.618719,5.7050614,5.9291606,4.792589,5.6003165,4.090589
Andrew Bogut,MIL,C,2010,3,10.020312,5.54805,6.5905094,9.715481,2.110052,9.151705,5.048735,2.464707,3.6669636,4.1866813,3.744484,5.9169664,5.520483,6.8610744,6.020613,4.280926,9.325656,4.9709964,6.6316996,2.6644769,5.6905503,5.9139123,4.8548174,5.616214,4.1024537
Andrew Bynum,LAL,C,2010,0,10.013544,5.532856,6.518478,9.721949,2.1094162,9.211295,5.068828,2.4258022,3.5670047,4.2351775,3.7491324,5.92629,5.5211573,6.864777,6.0080547,4.298378,9.316589,4.9747767,6.6221547,2.6574075,5.6863804,5.9187803,4.8396783,5.6169195,4.1049457
Andris Biedriņš,GSW,C,2010,0,10.112941,5.7707343,8.312648,9.642087,2.0856075,9.625135,4.9765396,2.9334962,3.7099426,4.058681,3.421994,5.7276797,5.525009,6.71815,6.0164914,4.1562223,9.335691,5.0865316,6.678595,2.6384408,5.6859083,5.931781,4.7933245,5.5859056,4.0856194
Andrés Nocioni,SAC,SF,2010,0,10.086596,5.827653,8.349072,9.769472,2.1811728,10.471725,3.1719189,3.2685332,3.9082074,4.2611785,3.1374066,5.576196,5.6921134,6.592011,5.9745264,4.175388,9.350719,5.217169,6.708372,2.532074,5.715164,5.9517074,4.6591544,5.5311947,4.039622
Antawn Jamison,2TM,PF,2010,0,9.977979,5.551228,6.1489935,9.868054,2.2053275,10.017245,3.3712177,2.6078339,3.8036535,4.4474945,3.5420704,5.825694,5.6978016,6.783084,5.9753575,4.348357,9.329836,5.0960093,6.6532598,2.5557823,5.7097907,5.933424,4.7080245,5.5647216,4.0617065
Anthony Carter,DEN,PG,2010,0,9.999752,5.742005,8.84187,9.707284,2.1719127,10.747555,3.5177586,3.4319277,2.3088093,4.698433,2.8931148,5.485124,5.5520897,6.418693,5.850205,4.1983685,9.279744,5.1643763,6.5513186,2.5180957,5.714472,5.9816203,4.590271,5.5440135,4.0685234
Anthony Johnson,ORL,PG,2010,0,10.014619,5.7236924,8.509244,9.75598,2.1654665,10.961081,3.5540304,3.2515256,2.0605319,4.845753,2.9845011,5.539198,5.6120176,6.4852877,5.7824564,4.282366,9.237643,5.2322173,6.5537734,2.4567876,5.691435,6.02288,4.500622,5.5467954,4.0733995
Anthony Morrow,GSW,SG,2010,0,10.046127,5.7539887,7.912744,9.7914,2.1935546,10.424056,3.0895867,3.1830156,3.6212065,4.3923798,3.1776872,5.6078978,5.682256,6.6000543,5.9456153,4.2205844,9.335027,5.184259,6.670001,2.5255778,5.7194524,5.9562654,4.654923,5.540645,4.046336
