Player,Team,Pos,season,target,Age,3PA,3P%,2P%,FT%,PF,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,USG%,DBPM,BPM,VORP,SOS,NRtg,Pace,Offense Four Factors eFG%,Offense Four Factors TOV%,Offense Four Factors ORB%,Offense Four Factors FT/FGA,Defense Four Factors eFG%,Defense Four Factors TOV%,Defense Four Factors DRB%,Defense Four Factors FT/FGA,potw_count,potm_count
Tayshaun Prince,DET,SF,2011,0,30.0,1.3,0.347,0.486,0.702,1.2,14.1,0.511,0.098,0.168,7.9,14.4,0.6,1.3,21.0,-1.8,-0.8,0.7,-0.18,-4.0,89.2,0.495,12.5,27.4,0.206,0.526,13.8,72.1,0.235,0,0
Terrence Williams,2TM,SG,2011,0,23.0,1.0,0.273,0.398,0.667,1.2,5.0,0.5335000000000001,0.2325,0.291,10.3,22.0,1.6,0.0,24.7,-0.8,-6.0,-0.3,0.075,-2.25,92.05,0.4885,12.85,26.75,0.2269999999999999,0.5015000000000001,12.2,73.45,0.2299999999999999,0,0
Thabo Sefolosha,OKC,SG,2011,0,26.0,1.3,0.275,0.558,0.747,2.2,5.1,0.545,0.306,0.237,9.9,7.9,2.5,1.4,9.4,1.9,0.6,1.3,0.02,4.0,92.7,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,0,0
Thaddeus Young,PHI,PF,2011,0,22.0,0.3,0.273,0.548,0.707,2.1,12.7,0.566,0.026,0.205,11.7,6.7,2.2,0.9,22.1,0.3,1.0,1.6,-0.5,1.6,91.7,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,0,0
Theo Ratliff,LAL,C,2011,0,37.0,0.0,0.0,0.167,0.0,0.7,0.2,0.145,0.0,0.333,10.4,5.5,1.5,5.4,6.3,1.4,-3.5,0.0,-0.1,6.7,90.7,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,0,0
Tiago Splitter,SAS,C,2011,0,26.0,0.0,0.0,0.532,0.543,1.5,4.6,0.55,0.005,0.733,15.8,5.3,2.0,1.6,17.7,0.5,-0.8,0.2,0.16,6.2,92.3,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,0,0
Tim Duncan,SAS,C,2011,0,34.0,0.1,0.0,0.502,0.716,1.6,13.4,0.537,0.005,0.307,18.3,15.7,1.2,4.8,22.9,2.2,4.4,3.5,0.16,6.2,92.3,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,0,0
Timofey Mozgov,2TM,C,2011,0,24.0,0.0,0.0,0.474,0.712,1.9,3.6,0.5675,0.2804999999999999,0.3355,13.2,4.2,1.4,3.5,16.2,-0.4,-4.7,-0.3,-0.125,2.9,95.6,0.5195000000000001,12.85,24.05,0.2635,0.5055000000000001,13.25,73.65,0.2319999999999999,0,0
Toney Douglas,NYK,SG,2011,0,24.0,4.7,0.373,0.46,0.794,2.2,10.6,0.534,0.507,0.142,7.1,19.5,2.3,0.1,20.1,-0.6,0.4,1.2,-0.3,0.8,95.6,0.513,12.6,24.2,0.246,0.511,13.8,71.9,0.24,0,0
Tony Allen,MEM,SG,2011,0,29.0,0.3,0.174,0.527,0.753,2.2,8.9,0.562,0.047,0.37,7.7,10.9,4.5,2.4,19.9,3.5,3.6,2.1,0.2,2.5,91.9,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,0,0
Tony Battie,PHI,C,2011,0,34.0,0.1,0.667,0.462,0.571,1.6,2.6,0.489,0.031,0.146,15.1,4.8,0.7,3.0,13.9,0.8,-3.3,-0.1,-0.5,1.6,91.7,0.494,12.3,24.6,0.21,0.487,13.5,74.5,0.231,0,0
Tony Parker,SAS,PG,2011,0,28.0,0.9,0.357,0.531,0.769,1.7,17.5,0.569,0.065,0.283,5.5,35.2,1.9,0.1,25.5,-0.4,1.8,2.4,0.16,6.2,92.3,0.527,12.8,24.9,0.229,0.491,12.6,74.6,0.19,0,0
Tracy McGrady,DET,SG,2011,0,31.0,1.2,0.341,0.462,0.698,1.4,8.0,0.503,0.171,0.251,9.1,23.6,2.1,1.6,18.6,0.5,0.6,1.1,-0.18,-4.0,89.2,0.495,12.5,27.4,0.206,0.526,13.8,72.1,0.235,0,0
Travis Outlaw,NJN,SF,2011,0,26.0,3.1,0.302,0.413,0.772,1.8,9.2,0.469,0.345,0.234,8.1,5.8,0.8,1.2,17.3,-1.1,-3.5,-0.9,-0.04,-6.8,89.9,0.474,13.4,26.1,0.215,0.503,11.8,74.2,0.241,0,0
Trevor Ariza,NOH,SF,2011,0,25.0,3.6,0.303,0.45,0.701,2.4,11.0,0.487,0.356,0.259,9.5,10.0,2.5,1.0,17.7,1.3,-0.4,1.0,0.39,1.0,88.7,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,0,0
Trevor Booker,WAS,PF,2011,0,23.0,0.0,0.0,0.552,0.673,1.8,5.3,0.582,0.004,0.399,13.5,5.2,1.4,3.0,13.9,-0.3,-0.9,0.3,0.11,-7.8,93.8,0.471,13.9,28.0,0.216,0.512,14.4,70.5,0.249,0,0
Trey Johnson,2TM,SG,2011,0,26.0,0.4,0.333,0.367,0.9,1.5,4.3,0.539,0.191,0.293,4.4,17.4,0.5,0.8,20.2,-2.3,-6.4,-0.1,-0.045,-0.0499999999999998,91.8,0.4965,13.0,28.7,0.2245,0.4995,12.9,72.15,0.216,0,0
Troy Murphy,2TM,PF,2011,0,30.0,0.9,0.152,0.457,0.667,1.3,3.1,0.539,0.1905,0.294,14.5,7.6,1.7,0.5,14.8,0.8,-3.1,-0.1,-0.29,-0.4499999999999997,90.15,0.4965,13.95,23.6,0.2249999999999999,0.486,13.3,74.45,0.238,0,0
Ty Lawson,DEN,PG,2011,0,23.0,2.1,0.404,0.536,0.764,1.7,11.7,0.593,0.249,0.327,5.7,28.3,1.9,0.1,19.6,-0.3,2.1,2.2,0.05,5.0,95.6,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.224,0,0
Tyler Hansbrough,IND,PF,2011,0,25.0,0.0,0.0,0.466,0.779,2.3,11.0,0.529,0.003,0.413,13.2,4.7,1.2,0.7,23.1,-1.3,-1.9,0.0,-0.3,-1.2,94.7,0.486,14.1,25.9,0.235,0.487,12.8,74.1,0.237,0,0
Tyreke Evans,SAC,SG,2011,0,21.0,2.6,0.291,0.432,0.771,2.5,17.8,0.482,0.159,0.285,7.4,24.9,2.0,1.0,25.3,0.2,0.0,1.1,0.54,-5.5,95.2,0.48,14.4,29.9,0.208,0.513,13.5,74.4,0.233,0,0
Tyrus Thomas,CHA,C,2011,0,24.0,0.1,0.0,0.476,0.787,2.8,10.2,0.536,0.009,0.411,15.8,6.2,1.9,6.2,24.9,1.2,-0.6,0.3,-0.08,-4.4,89.6,0.482,14.1,25.7,0.237,0.5,12.9,75.2,0.229,0,0
Tyson Chandler,DAL,C,2011,0,28.0,0.0,0.0,0.654,0.732,3.2,10.1,0.697,0.0,0.725,19.7,2.4,0.9,3.0,14.2,1.0,1.5,1.8,0.18,4.7,91.3,0.525,13.6,24.1,0.222,0.488,13.0,74.8,0.206,0,0
Udonis Haslem,MIA,PF,2011,0,30.0,0.0,0.0,0.512,0.8,3.0,8.0,0.549,0.0,0.233,18.2,2.7,1.1,0.7,14.8,-0.5,-2.3,0.0,-0.71,8.2,90.9,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,0,0
Vince Carter,2TM,SG,2011,0,34.0,4.4,0.361,0.479,0.74,2.6,14.0,0.5565,0.2995,0.3055,7.8,12.1,1.7,0.7,23.5,0.2,0.3,1.2,-0.055,2.5,92.8,0.5215000000000001,13.75,24.9,0.221,0.494,13.2,74.25,0.215,0,0
Vladimir Radmanović,GSW,PF,2011,0,30.0,2.3,0.405,0.462,0.882,2.1,5.1,0.562,0.544,0.107,10.3,9.6,1.9,2.9,14.7,0.4,-0.1,0.6,0.33,-2.5,94.8,0.51,13.3,26.7,0.183,0.509,14.5,69.3,0.259,0,0
Von Wafer,BOS,SG,2011,0,25.0,1.2,0.269,0.533,0.842,0.7,3.2,0.524,0.421,0.239,5.5,9.8,1.7,0.7,17.0,0.9,-1.4,0.1,-0.54,5.9,90.4,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,0,0
Wayne Ellington,MIN,SG,2011,0,23.0,2.0,0.397,0.406,0.792,1.4,6.6,0.488,0.305,0.134,5.1,9.4,1.2,0.2,17.1,-1.3,-3.5,-0.5,0.67,-6.9,96.5,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251,0,0
Wesley Johnson,MIN,SG,2011,5,23.0,3.7,0.356,0.427,0.696,2.1,9.0,0.491,0.424,0.135,6.4,11.0,1.4,2.0,16.8,-0.4,-1.7,0.2,0.67,-6.9,96.5,0.483,15.1,29.6,0.217,0.514,13.1,73.7,0.251,0,0
Wesley Matthews,POR,SG,2011,0,24.0,4.6,0.407,0.476,0.844,2.4,15.9,0.582,0.386,0.322,5.7,10.2,2.0,0.3,21.3,-0.1,0.9,2.0,0.32,1.7,87.9,0.486,12.6,29.5,0.224,0.51,15.4,72.0,0.231,0,0
Will Bynum,DET,PG,2011,0,28.0,0.8,0.32,0.466,0.836,1.9,7.9,0.524,0.123,0.3,4.0,28.6,2.5,0.3,22.5,-1.0,-1.9,0.0,-0.18,-4.0,89.2,0.495,12.5,27.4,0.206,0.526,13.8,72.1,0.235,0,0
Willie Green,NOH,SG,2011,0,29.0,2.0,0.348,0.476,0.78,1.9,8.7,0.515,0.255,0.164,5.9,7.6,1.2,0.6,20.5,-0.7,-2.8,-0.3,0.39,1.0,88.7,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,0,0
Willie Warren,LAC,PG,2011,0,21.0,0.8,0.333,0.4,0.75,0.8,1.9,0.48,0.429,0.229,5.2,30.4,2.3,0.0,15.5,-0.3,-2.7,0.0,0.42,-3.4,92.8,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,0,0
Wilson Chandler,2TM,SF,2011,0,23.0,4.4,0.35,0.501,0.807,2.8,15.3,0.5675,0.2804999999999999,0.3355,9.7,8.1,1.0,2.9,20.9,-0.4,-0.2,1.1,-0.125,2.9,95.6,0.5195000000000001,12.85,24.05,0.2635,0.5055000000000001,13.25,73.65,0.2319999999999999,0,0
Xavier Henry,MEM,SG,2011,0,19.0,0.4,0.118,0.441,0.635,1.3,4.3,0.451,0.106,0.325,4.2,5.0,1.1,0.5,16.8,-0.8,-5.3,-0.4,0.2,2.5,91.9,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,0,0
Yao Ming,HOU,C,2011,0,30.0,0.0,0.0,0.486,0.938,2.6,10.2,0.579,0.0,0.432,16.8,7.3,0.0,6.1,24.8,1.1,1.2,0.1,0.19,2.3,94.2,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.219,0,0
Yi Jianlian,WAS,PF,2011,0,23.0,0.2,0.231,0.425,0.681,1.8,5.6,0.459,0.037,0.262,12.7,3.5,1.2,2.2,17.4,-1.6,-5.3,-0.9,0.11,-7.8,93.8,0.471,13.9,28.0,0.216,0.512,14.4,70.5,0.249,0,0
Zabian Dowdell,PHO,PG,2011,0,26.0,0.4,0.3,0.417,0.941,1.3,5.0,0.457,0.08,0.136,4.0,27.7,3.5,0.5,25.0,0.2,-3.6,-0.1,0.43,-0.9,94.4,0.522,13.2,23.7,0.215,0.513,13.1,71.6,0.211,0,0
Zach Randolph,MEM,PF,2011,3,29.0,0.6,0.186,0.515,0.758,2.3,20.1,0.552,0.036,0.333,20.1,10.2,1.2,0.7,25.0,-1.2,2.6,3.2,0.2,2.5,91.9,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,0,0
Zaza Pachulia,ATL,C,2011,0,26.0,0.0,0.0,0.461,0.754,2.3,4.4,0.562,0.0,0.772,16.1,7.0,1.5,1.3,14.5,0.1,-2.8,-0.2,-0.28,-0.9,89.3,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,0,0
Zydrunas Ilgauskas,MIA,C,2011,0,35.0,0.0,0.0,0.509,0.783,2.6,5.0,0.531,0.003,0.144,14.9,3.6,1.1,4.0,16.0,0.4,-2.7,-0.2,-0.71,8.2,90.9,0.524,13.5,25.2,0.279,0.475,12.6,75.5,0.223,0,0
Ömer Aşık,CHI,C,2011,0,24.0,0.0,0.0,0.553,0.503,1.9,2.8,0.559,0.0,1.028,18.1,4.7,1.1,4.3,12.5,1.8,-1.8,0.1,-0.79,8.0,90.4,0.501,13.5,29.4,0.227,0.463,13.6,76.2,0.222,0,0
A.J. Price,IND,PG,2012,0,25.0,2.0,0.295,0.384,0.8,0.7,3.9,0.454,0.506,0.201,6.0,23.9,1.9,0.3,17.7,-0.5,-1.0,0.1,-0.71,3.6,90.7,0.474,13.1,29.2,0.251,0.476,14.1,72.3,0.222,0,0
Aaron Gray,TOR,C,2012,0,27.0,0.0,0.0,0.516,0.532,2.6,3.9,0.526,0.0,0.292,20.3,5.5,1.5,1.7,13.5,0.1,-3.5,-0.3,-0.36,-3.7,89.3,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0,0
Al Harrington,DEN,PF,2012,0,31.0,4.7,0.333,0.519,0.676,2.8,14.2,0.535,0.392,0.228,12.9,8.2,1.7,0.5,24.4,-0.8,-0.4,0.7,0.29,3.0,94.2,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,0,0
Al Horford,ATL,C,2012,0,25.0,0.1,0.0,0.559,0.733,1.9,12.4,0.585,0.01,0.291,13.0,11.7,1.5,3.1,17.9,1.5,3.4,0.5,-0.77,3.7,90.2,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,0,0
Al Jefferson,UTA,C,2012,0,27.0,0.1,0.25,0.493,0.774,2.5,19.2,0.52,0.004,0.169,16.2,12.1,1.2,3.9,25.7,0.2,3.7,3.0,0.3,0.7,91.4,0.481,13.0,30.2,0.227,0.493,13.8,73.8,0.245,0,0
Al-Farouq Aminu,NOH,SF,2012,0,21.0,0.7,0.277,0.431,0.754,2.1,6.0,0.481,0.129,0.312,12.4,7.2,2.2,1.9,16.2,0.7,-2.2,-0.1,0.65,-4.2,88.3,0.476,15.2,27.5,0.207,0.485,13.5,73.1,0.218,0,0
Alan Anderson,TOR,SF,2012,0,29.0,3.6,0.393,0.383,0.853,2.1,9.6,0.519,0.43,0.239,4.3,9.5,0.6,0.5,18.6,-1.3,-3.0,-0.1,-0.36,-3.7,89.3,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0,0
Alec Burks,UTA,SG,2012,0,20.0,0.8,0.333,0.442,0.727,1.4,7.2,0.506,0.126,0.401,8.1,9.5,1.5,0.4,22.5,-1.4,-2.0,0.0,0.3,0.7,91.4,0.481,13.0,30.2,0.227,0.493,13.8,73.8,0.245,0,0
Alonzo Gee,CLE,SG,2012,0,24.0,2.2,0.321,0.442,0.788,2.4,10.6,0.516,0.249,0.385,10.0,10.6,2.4,0.7,18.7,-0.2,-1.4,0.3,-0.14,-7.8,91.3,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0,0
Amar'e Stoudemire,NYK,PF,2012,0,29.0,0.4,0.238,0.491,0.765,2.9,17.5,0.541,0.032,0.372,13.7,6.3,1.3,2.3,25.4,-0.4,-0.3,0.7,-0.81,3.4,93.2,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,0,0
Amir Johnson,TOR,PF,2012,0,24.0,0.1,0.4,0.579,0.69,3.3,7.1,0.6,0.015,0.247,15.4,8.7,1.1,3.6,14.3,0.9,-0.5,0.6,-0.36,-3.7,89.3,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0,0
Anderson Varejão,CLE,C,2012,0,29.0,0.2,0.0,0.523,0.672,2.5,10.8,0.542,0.018,0.288,20.8,9.7,2.3,1.6,16.9,-0.2,1.1,0.6,-0.14,-7.8,91.3,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0,0
Andray Blatche,WAS,PF,2012,0,25.0,0.3,0.286,0.382,0.673,2.1,8.5,0.415,0.029,0.2,13.5,7.3,1.7,2.1,21.7,-1.4,-4.8,-0.4,-0.34,-5.2,92.5,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,0,0
Andre Emmett,NJN,SF,2012,0,29.0,0.2,0.0,0.667,0.625,0.3,2.2,0.618,0.143,1.143,7.7,3.6,2.4,1.7,12.7,-0.7,-1.5,0.0,-0.39,-6.7,90.1,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0,0
Andre Iguodala,PHI,SF,2012,0,28.0,3.1,0.394,0.481,0.617,1.5,12.4,0.537,0.305,0.31,9.6,23.7,2.6,1.0,17.7,2.5,4.0,3.3,-0.65,4.7,89.7,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,0,0
Andre Miller,DEN,SG,2012,0,35.0,1.3,0.217,0.478,0.811,2.0,9.7,0.51,0.15,0.306,7.1,36.5,1.8,0.4,19.8,-0.9,-0.3,0.7,0.29,3.0,94.2,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,0,0
Andrea Bargnani,TOR,C,2012,0,26.0,3.7,0.296,0.474,0.873,1.7,19.5,0.538,0.238,0.357,9.8,11.6,0.9,1.2,28.7,-1.3,1.1,0.8,-0.36,-3.7,89.3,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0,0
Andrew Bogut,MIL,C,2012,0,27.0,0.1,0.0,0.452,0.609,3.0,11.3,0.465,0.007,0.169,15.1,13.7,1.7,5.0,20.6,2.3,0.5,0.2,-0.5,0.3,93.7,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0,0
Andrew Bynum,LAL,C,2012,2,24.0,0.1,0.2,0.56,0.692,1.7,18.7,0.594,0.006,0.425,18.7,7.4,0.7,4.0,23.8,0.2,2.9,2.6,0.54,1.6,90.5,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,0,0
Andrew Goudelock,LAL,SG,2012,0,23.0,1.9,0.373,0.404,0.917,0.8,4.4,0.488,0.431,0.069,4.1,8.0,0.5,0.0,21.9,-2.4,-5.0,-0.3,0.54,1.6,90.5,0.491,14.2,29.1,0.226,0.476,10.7,74.8,0.158,0,0
Andris Biedriņš,GSW,C,2012,0,25.0,0.0,0.0,0.609,0.111,2.7,1.7,0.581,0.0,0.141,13.5,3.0,1.6,4.7,5.1,1.5,-2.3,0.0,0.62,-3.7,92.3,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0,0
Andrés Nocioni,PHI,SF,2012,0,32.0,0.5,0.167,0.286,0.545,0.4,1.5,0.342,0.3,0.55,13.9,2.6,1.0,1.3,25.0,-2.3,-12.9,-0.2,-0.65,4.7,89.7,0.48,10.9,24.4,0.161,0.46,13.5,75.2,0.192,0,0
Antawn Jamison,CLE,PF,2012,0,35.0,4.1,0.341,0.425,0.683,2.5,17.2,0.481,0.256,0.26,10.8,11.9,1.2,1.5,26.2,-1.6,-0.3,0.9,-0.14,-7.8,91.3,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0,0
Anthony Carter,TOR,PG,2012,0,36.0,0.7,0.294,0.333,0.8,0.8,2.0,0.409,0.321,0.189,9.3,25.9,2.1,1.6,16.8,0.8,-3.0,-0.1,-0.36,-3.7,89.3,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,0,0
Anthony Morrow,NJN,SG,2012,0,26.0,4.6,0.371,0.446,0.933,1.4,12.0,0.531,0.435,0.158,4.5,6.8,1.5,0.4,21.6,-2.0,-1.9,0.0,-0.39,-6.7,90.1,0.473,14.3,27.8,0.209,0.513,13.7,70.7,0.209,0,0
Anthony Parker,CLE,SF,2012,0,36.0,2.7,0.362,0.484,0.625,1.3,7.2,0.523,0.423,0.172,6.1,15.7,1.6,0.4,14.1,-0.3,-1.7,0.1,-0.14,-7.8,91.3,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,0,0
Anthony Randolph,MIN,PF,2012,0,22.0,0.0,0.0,0.472,0.762,1.6,7.4,0.532,0.005,0.42,13.2,6.6,1.3,4.8,23.8,0.6,-0.8,0.2,0.37,-2.3,93.3,0.477,14.0,27.5,0.236,0.491,12.2,73.0,0.187,0,0
Anthony Tolliver,MIN,SF,2012,0,26.0,2.0,0.248,0.568,0.745,1.7,4.1,0.504,0.555,0.302,9.6,3.8,1.0,1.5,12.2,0.1,-2.6,-0.2,0.37,-2.3,93.3,0.477,14.0,27.5,0.236,0.491,12.2,73.0,0.187,0,0
Armon Johnson,2TM,PG,2012,0,22.0,0.3,0.333,0.475,1.0,1.0,5.2,0.5235000000000001,0.2665,0.266,6.1,16.1,2.1,0.0,19.1,0.1,-1.7,0.0,0.0099999999999999,-3.7,90.65,0.4805,13.85,27.05,0.209,0.5085,13.9,71.75,0.204,0,0
Arron Afflalo,DEN,SG,2012,0,26.0,3.6,0.398,0.504,0.798,2.2,15.2,0.584,0.316,0.353,5.5,11.1,0.9,0.5,19.1,-1.2,0.1,1.1,0.29,3.0,94.2,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,0,0
Austin Daye,DET,SF,2012,0,23.0,1.5,0.21,0.364,0.814,1.5,4.7,0.394,0.273,0.189,9.0,9.2,2.0,2.8,21.9,-0.1,-5.0,-0.5,-0.4,-5.3,89.2,0.468,15.0,28.1,0.21,0.5,14.2,72.8,0.226,0,0
Avery Bradley,BOS,PG,2012,0,21.0,0.8,0.407,0.511,0.795,1.7,7.6,0.555,0.134,0.194,5.0,10.8,1.7,0.7,17.9,0.7,-1.7,0.1,-0.26,2.8,90.4,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,0,0
Baron Davis,NYK,PG,2012,0,32.0,2.9,0.306,0.424,0.667,2.1,6.1,0.457,0.462,0.13,5.4,36.2,2.9,0.4,20.4,-0.2,-2.1,0.0,-0.81,3.4,93.2,0.492,14.9,26.6,0.227,0.485,15.9,73.7,0.224,0,0
Ben Gordon,DET,SG,2012,0,28.0,2.8,0.429,0.446,0.86,2.2,12.5,0.549,0.277,0.257,5.2,16.5,1.3,0.6,23.3,-1.4,-1.7,0.1,-0.4,-5.3,89.2,0.468,15.0,28.1,0.21,0.5,14.2,72.8,0.226,0,0
Ben Uzoh,2TM,PG,2012,0,23.0,0.1,0.0,0.357,0.579,1.7,4.5,0.5115000000000001,0.2234999999999999,0.2905,10.6,26.8,2.5,0.7,16.1,1.9,-1.1,0.1,-0.25,-5.75,90.3,0.469,14.55,27.4,0.2155,0.4915,12.95,73.80000000000001,0.231,0,0
Ben Wallace,DET,C,2012,0,37.0,0.1,0.25,0.402,0.34,1.0,1.4,0.398,0.047,0.547,16.4,6.4,2.6,4.1,6.6,2.4,0.6,0.7,-0.4,-5.3,89.2,0.468,15.0,28.1,0.21,0.5,14.2,72.8,0.226,0,0
Beno Udrih,MIL,SG,2012,0,29.0,1.0,0.288,0.473,0.709,1.2,5.9,0.488,0.178,0.166,5.2,32.2,1.8,0.1,17.7,-1.2,-2.1,0.0,-0.5,0.3,93.7,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0,0
Bismack Biyombo,CHA,C,2012,0,19.0,0.0,0.0,0.464,0.483,2.3,5.2,0.48,0.0,0.514,14.5,3.1,0.7,5.9,13.1,-0.2,-4.6,-1.0,-0.05,-15.2,91.1,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,0,0
Blake Ahearn,UTA,PG,2012,0,27.0,2.3,0.222,0.4,0.0,1.0,2.5,0.357,0.643,0.0,3.8,5.2,0.0,0.0,28.4,-6.8,-19.5,-0.1,0.3,0.7,91.4,0.481,13.0,30.2,0.227,0.493,13.8,73.8,0.245,0,0
Blake Griffin,LAC,PF,2012,2,22.0,0.2,0.125,0.556,0.521,3.3,20.7,0.557,0.016,0.458,17.8,16.6,1.2,1.7,26.6,-0.2,3.7,3.4,0.26,2.8,89.2,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,0,0
Bobby Simmons,LAC,SF,2012,0,31.0,2.1,0.333,0.267,0.571,1.5,2.9,0.43,0.667,0.078,7.8,3.8,1.9,0.6,11.4,-0.3,-3.6,-0.2,0.26,2.8,89.2,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,0,0
Boris Diaw,2TM,PF,2012,0,29.0,1.7,0.313,0.496,0.629,2.2,6.4,0.5225,0.213,0.2685,11.3,23.8,1.2,1.3,15.5,-0.2,-1.8,0.1,0.03,-3.75,92.0,0.4835,13.35,24.35,0.2005,0.5005,12.85,73.45,0.187,0,0
Brad Miller,MIN,C,2012,0,35.0,1.0,0.467,0.167,0.833,0.7,2.3,0.542,0.556,0.444,7.2,24.3,1.4,1.0,13.5,0.1,-1.0,0.0,0.37,-2.3,93.3,0.477,14.0,27.5,0.236,0.491,12.2,73.0,0.187,0,0
Brandan Wright,DAL,C,2012,0,24.0,0.0,0.0,0.621,0.634,1.2,6.9,0.632,0.004,0.352,12.4,2.9,1.5,6.4,17.0,1.8,3.7,1.1,0.83,1.0,91.4,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0,0
Brandon Bass,BOS,PF,2012,0,26.0,0.0,0.0,0.479,0.81,2.3,12.5,0.524,0.0,0.258,11.5,5.1,1.0,2.2,19.8,0.3,-1.0,0.5,-0.26,2.8,90.4,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,0,0
Brandon Jennings,MIL,PG,2012,0,22.0,5.9,0.332,0.464,0.808,1.7,19.1,0.514,0.346,0.213,5.3,26.7,2.3,0.7,25.9,-0.3,2.7,2.8,-0.5,0.3,93.7,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,0,0
Brandon Knight,DET,PG,2012,4,20.0,4.2,0.38,0.434,0.759,2.3,12.8,0.511,0.359,0.178,5.9,20.8,1.2,0.4,21.7,-1.7,-2.6,-0.3,-0.4,-5.3,89.2,0.468,15.0,28.1,0.21,0.5,14.2,72.8,0.226,0,0
Brandon Rush,GSW,SF,2012,0,26.0,3.4,0.452,0.544,0.793,1.0,9.8,0.628,0.467,0.175,8.3,7.9,1.1,2.6,15.4,-0.4,1.7,1.6,0.62,-3.7,92.3,0.505,13.3,22.9,0.175,0.496,13.6,69.1,0.237,0,0
Brendan Haywood,DAL,C,2012,0,32.0,0.0,0.0,0.518,0.469,2.2,5.2,0.52,0.0,0.421,15.9,2.6,1.1,3.8,12.8,0.2,-1.9,0.0,0.83,1.0,91.4,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0,0
Brian Cardinal,DAL,SF,2012,0,34.0,1.1,0.204,0.667,0.833,0.9,1.0,0.373,0.891,0.109,6.9,8.3,1.5,0.6,11.0,0.8,-5.2,-0.2,0.83,1.0,91.4,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,0,0
Brian Cook,2TM,PF,2012,0,31.0,1.6,0.2,0.438,0.9,1.5,2.5,0.5205,0.2325,0.27,13.1,5.7,1.1,1.5,18.7,-1.4,-7.6,-0.4,-0.04,-1.2000000000000002,90.85,0.487,13.45,28.4,0.1895,0.492,14.2,72.05000000000001,0.237,0,0
Brian Scalabrine,CHI,PF,2012,0,33.0,0.3,0.143,0.565,0.5,0.3,1.1,0.49,0.233,0.2,9.6,18.7,2.2,3.5,15.5,2.6,1.6,0.1,-0.76,9.1,89.1,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,0,0
Brian Skinner,MEM,C,2012,0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,-3.0,-15.5,0.0,0.42,2.2,90.8,0.473,13.6,29.8,0.211,0.485,16.3,72.7,0.227,0,0
