Player,Team,Pos,season,target,Age,3PA,3P%,2P%,FT%,PF,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,USG%,DBPM,BPM,VORP,SOS,NRtg,Pace,Offense Four Factors eFG%,Offense Four Factors TOV%,Offense Four Factors ORB%,Offense Four Factors FT/FGA,Defense Four Factors eFG%,Defense Four Factors TOV%,Defense Four Factors DRB%,Defense Four Factors FT/FGA,potw_count,potm_count
Andrei Kirilenko,UTA,SF,2010,0,28.0,1.5,0.292,0.555,0.744,1.8,11.9,0.588,0.185,0.485,9.3,14.0,2.5,3.4,17.7,2.4,5.1,3.0,-0.01,5.7,93.8,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,0,0
Andrew Bogut,MIL,C,2010,3,25.0,0.0,0.0,0.521,0.629,3.2,15.9,0.54,0.002,0.26,17.9,10.3,0.9,6.2,23.3,2.2,3.1,2.8,-0.32,1.8,91.7,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,0,0
Andrew Bynum,LAL,C,2010,0,22.0,0.0,0.0,0.571,0.739,3.0,15.0,0.608,0.001,0.379,15.3,5.8,0.9,3.6,20.8,0.4,1.5,1.8,0.06,5.1,92.8,0.496,12.4,27.6,0.221,0.484,13.2,74.4,0.195,0,0
Andris Biedriņš,GSW,C,2010,0,23.0,0.0,0.0,0.591,0.16,3.5,5.0,0.561,0.0,0.182,18.9,10.1,1.3,4.1,10.1,1.7,-0.2,0.4,0.32,-3.6,100.4,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,0,0
Andrés Nocioni,SAC,SF,2010,0,30.0,3.3,0.386,0.408,0.717,2.1,8.5,0.504,0.424,0.169,8.6,8.0,1.1,1.3,20.9,-1.1,-2.4,-0.1,0.3,-4.6,94.0,0.491,13.6,27.8,0.207,0.505,12.6,73.5,0.244,0,0
Antawn Jamison,2TM,PF,2010,0,33.0,3.7,0.344,0.498,0.647,2.7,18.7,0.5469999999999999,0.2155,0.312,13.4,6.1,1.5,0.7,23.9,-0.9,0.2,1.3,-0.15,0.9499999999999996,91.5,0.5065,13.65,26.35,0.2309999999999999,0.492,12.55,74.80000000000001,0.2284999999999999,0,0
Anthony Carter,DEN,PG,2010,0,34.0,1.2,0.27,0.5,0.846,1.3,3.3,0.482,0.348,0.072,6.0,26.6,2.3,1.1,12.6,0.9,-0.8,0.3,0.06,4.3,94.8,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,0,0
Anthony Johnson,ORL,PG,2010,0,35.0,1.3,0.333,0.5,0.95,1.0,4.2,0.543,0.351,0.18,6.8,24.2,1.4,0.2,16.7,0.7,0.0,0.2,-0.37,8.1,92.0,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.205,0,0
Anthony Morrow,GSW,SG,2010,0,24.0,4.4,0.456,0.477,0.886,2.3,13.0,0.597,0.437,0.162,7.1,7.6,1.5,0.6,17.8,-1.5,-0.4,0.8,0.32,-3.6,100.4,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,0,0
Anthony Parker,CLE,SG,2010,0,34.0,3.2,0.414,0.458,0.789,1.9,7.3,0.576,0.549,0.2,6.0,9.9,1.4,0.6,12.0,0.7,-0.3,1.0,-0.36,7.1,91.4,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,0,0
Anthony Randolph,GSW,C,2010,0,20.0,0.2,0.2,0.447,0.801,2.8,11.6,0.521,0.016,0.44,16.0,8.5,1.8,4.9,23.9,-0.3,-0.6,0.3,0.32,-3.6,100.4,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,0,0
Anthony Tolliver,2TM,PF,2010,0,24.0,3.3,0.329,0.481,0.769,2.8,11.7,0.552,0.2264999999999999,0.3045,12.5,8.6,1.1,1.7,16.6,-1.3,-1.6,0.1,0.095,0.05,94.05,0.5065,12.6,24.55,0.2395,0.5135000000000001,14.2,71.65,0.2395,0,0
Antoine Wright,TOR,SF,2010,0,25.0,2.6,0.335,0.46,0.688,2.0,6.5,0.502,0.434,0.193,8.1,7.4,1.1,0.6,16.1,-1.4,-3.3,-0.4,-0.05,-1.9,93.1,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,0,0
Antonio Anderson,OKC,SF,2010,0,24.0,0.0,0.0,0.333,0.0,1.0,2.0,0.333,0.0,0.0,3.8,0.0,0.0,0.0,12.0,-4.8,-12.4,0.0,0.06,3.7,93.1,0.494,13.9,28.6,0.268,0.483,14.0,73.6,0.229,0,0
Antonio McDyess,SAS,PF,2010,0,35.0,0.0,0.0,0.481,0.632,1.9,5.8,0.492,0.005,0.133,16.5,7.7,1.4,1.4,15.1,0.8,-1.0,0.4,-0.02,5.5,91.7,0.515,12.9,26.8,0.219,0.483,12.1,76.3,0.214,0,0
Arron Afflalo,DEN,SG,2010,0,24.0,3.0,0.434,0.488,0.735,2.7,8.8,0.576,0.426,0.168,6.5,9.3,1.0,1.0,14.0,-0.2,-0.4,0.9,0.06,4.3,94.8,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,0,0
Austin Daye,DET,SF,2010,0,21.0,1.4,0.305,0.54,0.821,1.7,5.1,0.546,0.322,0.19,11.5,6.3,1.5,2.4,18.5,-0.1,-1.8,0.1,0.09,-5.8,88.5,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,0,0
Baron Davis,LAC,PG,2010,0,30.0,3.9,0.277,0.459,0.821,2.8,15.3,0.501,0.292,0.287,6.1,39.6,2.6,1.3,24.3,0.0,1.5,2.2,0.34,-6.8,92.6,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,0,0
Ben Gordon,DET,SG,2010,0,26.0,3.8,0.321,0.465,0.861,2.4,13.8,0.534,0.335,0.329,4.2,16.7,1.5,0.3,24.5,-1.8,-1.4,0.2,0.09,-5.8,88.5,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,0,0
Ben Wallace,DET,C,2010,0,35.0,0.0,0.0,0.545,0.406,1.9,5.5,0.526,0.007,0.548,18.3,8.0,2.4,3.6,10.0,1.2,1.9,1.9,0.09,-5.8,88.5,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,0,0
Beno Udrih,SAC,PG,2010,0,27.0,2.5,0.377,0.53,0.837,2.1,12.9,0.566,0.237,0.168,5.1,24.1,1.8,0.3,18.6,-0.2,0.4,1.5,0.3,-4.6,94.0,0.491,13.6,27.8,0.207,0.505,12.6,73.5,0.244,0,0
Bobby Brown,2TM,PG,2010,0,25.0,2.2,0.265,0.446,0.867,0.9,4.8,0.536,0.2255,0.263,4.3,27.5,1.5,0.1,25.4,-2.6,-5.3,-0.4,0.265,-4.75,92.6,0.4985,13.75,25.950000000000003,0.1975,0.516,12.85,73.9,0.2095,0,0
Bobby Simmons,NJN,PF,2010,0,29.0,2.7,0.317,0.407,0.9,2.3,5.3,0.485,0.538,0.171,9.2,6.3,2.0,0.6,16.8,0.0,-3.6,-0.2,0.19,-9.9,91.4,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,0,0
Boris Diaw,CHA,PF,2010,0,27.0,2.5,0.32,0.541,0.769,2.7,11.3,0.552,0.266,0.19,8.8,18.9,1.1,1.6,16.2,0.9,0.8,2.0,-0.17,1.6,90.4,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,0,0
Brad Miller,CHI,C,2010,0,33.0,1.6,0.28,0.474,0.827,2.3,8.8,0.53,0.227,0.379,11.4,12.2,1.2,1.1,18.1,0.5,-0.8,0.6,0.0,-1.8,93.1,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,0,0
Brandon Bass,ORL,PF,2010,0,24.0,0.0,0.0,0.511,0.825,1.4,5.8,0.556,0.0,0.27,11.3,5.1,1.0,3.1,20.9,0.1,-0.6,0.2,-0.37,8.1,92.0,0.536,13.6,24.6,0.246,0.477,12.2,77.4,0.205,0,0
Brandon Jennings,MIL,PG,2010,4,20.0,4.7,0.374,0.37,0.817,2.3,15.5,0.475,0.319,0.225,6.0,29.6,2.1,0.5,26.1,0.2,0.7,1.8,-0.32,1.8,91.7,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,0,0
Brandon Roy,POR,SG,2010,3,25.0,3.4,0.33,0.512,0.78,2.1,21.5,0.568,0.213,0.424,7.3,23.1,1.4,0.5,26.7,0.0,4.7,4.1,-0.13,3.7,87.7,0.499,12.1,28.2,0.249,0.502,13.3,74.8,0.219,0,0
Brandon Rush,IND,SG,2010,0,24.0,3.7,0.411,0.433,0.629,1.9,9.4,0.522,0.43,0.127,7.6,6.9,1.1,1.9,14.8,0.1,-1.3,0.4,-0.1,-3.1,97.1,0.491,13.8,21.6,0.229,0.49,13.4,73.0,0.258,0,0
Brendan Haywood,2TM,C,2010,0,30.0,0.0,0.0,0.563,0.62,2.7,9.1,0.538,0.2025,0.28,17.5,2.8,0.6,5.1,13.5,0.2,-0.1,1.1,0.0,-1.15,92.05,0.4935,13.1,25.950000000000003,0.221,0.4985,13.2,73.05000000000001,0.2224999999999999,0,0
Brian Cardinal,MIN,PF,2010,0,32.0,0.3,0.333,0.407,0.944,1.9,1.7,0.546,0.25,0.5,6.1,12.3,1.7,0.8,8.3,0.9,-4.4,-0.2,0.54,-9.9,96.1,0.478,14.6,26.7,0.207,0.525,13.0,73.6,0.22,0,0
Brian Cook,HOU,PF,2010,0,29.0,0.6,0.222,0.357,0.714,0.3,1.4,0.403,0.391,0.304,11.7,3.7,0.0,3.3,32.2,-2.4,-11.3,-0.1,0.35,-0.4,94.0,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,0,0
Brian Scalabrine,BOS,PF,2010,0,31.0,0.9,0.327,0.361,0.667,1.1,1.5,0.445,0.576,0.071,6.2,8.1,1.0,0.7,10.4,0.1,-4.3,-0.3,-0.29,3.9,91.6,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,0,0
Brian Skinner,LAC,PF,2010,0,33.0,0.0,0.0,0.4,0.75,1.3,1.6,0.456,0.0,0.32,12.7,0.0,1.3,2.4,13.1,-0.6,-7.2,-0.2,0.34,-6.8,92.6,0.491,14.8,27.1,0.206,0.509,12.2,74.0,0.214,0,0
Brook Lopez,NJN,C,2010,0,21.0,0.0,0.0,0.5,0.817,3.1,18.8,0.57,0.002,0.451,13.5,11.8,1.0,3.4,23.6,-0.5,1.2,2.5,0.19,-9.9,91.4,0.458,13.7,25.1,0.24,0.517,13.3,71.8,0.229,0,0
Byron Mullens,OKC,PF,2010,0,20.0,0.0,0.0,0.368,0.0,1.0,1.1,0.368,0.0,0.0,10.6,2.9,1.9,0.0,19.1,-0.5,-11.8,-0.1,0.06,3.7,93.1,0.494,13.9,28.6,0.268,0.483,14.0,73.6,0.229,0,0
C.J. Miles,UTA,SF,2010,0,22.0,3.4,0.341,0.484,0.695,3.0,9.9,0.515,0.386,0.169,6.6,10.7,2.0,0.9,20.5,0.1,-1.9,0.0,-0.01,5.7,93.8,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,0,0
